"row_id","username","group_id","user_type","department"
1,bkk,7,"1.รองปลัดกรุงเทพมหานคร",รองปลัดกรุงเทพมหานคร
2,provincetest10,7,"2.จังหวัด ทั้งหมด",ศอ.ปส.จ กรุงเทพมหานคร
3,provincetest18,7,"2.จังหวัด ทั้งหมด",ศอ.ปส.จ ชัยนาท
4,thaigov,8,"1.สำนักนายกรัฐมนตรี",สำนักนายกรัฐมนตรี
5,moi,8,"2.สำนักงานปลัดของกระทรวง",สำนักงานปลัดกระทรวงมหาดไทย
6,mod,8,"2.สำนักงานปลัดของกระทรวง",สำนักงานปลัดกระทรวงกลาโหม
7,moj1,8,"3.น.ส.สุรีรัตน์ เถื่อนชัย",นางสาวสุรีรัตน์ เถื่อนชัย
8,bkktest1030,9,"1.เขต ใน กทม.",เขตจตุจักร
9,amptest1802,9,"2.อำเภอ ใน ต่างจังหวัด",อำเภอมโนรมย์
10,amp1297,9,"3.เทศบาลนคร",เทศบาลนครปากเกร็ด
11,amp1384,9,"4.เทศบาลเมือง",เทศบาลเมืองคลองหลวง
12,oncb_center,12,"1.สำนักงาน ป.ป.ส.(กองทุนแม่ฯ)",สำนักงาน ป.ป.ส.(กองทุนแม่ฯ)
13,oncb,13,"1.สำนักงาน ป.ป.ส.",สำนักงาน ป.ป.ส.
14,oncbtest01,13,"2.สำนักงาน ปปส. ภาค,กทม.",สำนักงาน ปปส. ภาค 1
15,oncb20,13,"2.สำนักงาน ปปส. ภาค,กทม.",วต.สยศ
16,ITC,13,"3.กอง ใน ปปส.",ศทส.
17,oncbplan,13,"4.ส่วนแผนงานและงบประมาณ สยศ.",ส่วนแผนงานและงบประมาณ สยศ.
18,oncbprog,13,"5.ส่วนติดตามและประเมินผล สยศ.",ส่วนติดตามและประเมินผล สยศ.
19,oncb1386,13,"6.ร้องเรียน 1386",ร้องเรียน 1386
20,nccde14,13,"7.เวรอำนวยการ ศปก.ปปส.",เวรอำนวยการ ศปก.ปปส.
21,oncb001,13,"8.ยอ.สยศ",ยอ.สยศ
22,schq,15,"1.กองบัญชาการกองทัพไทย",กองบัญชาการกองทัพไทย
23,isoc,15,"2.กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร",กองอำนวยการรักษาความมั่นคงภายในราชอาณาจักร
24,army,15,"3.กองทัพบก (ศพส.ทบ.)",กองทัพบก (ศพส.ทบ.)
25,navy,15,"4.กองทัพเรือ (ศพส.ทร.)",กองทัพเรือ (ศพส.ทร.)
26,airforce,15,"5.กองทัพอากาศ (ศพส.ทอ.)",กองทัพอากาศ (ศพส.ทอ.)
27,army1,15,"5.กองทัพภาคที่ 1-4",กองทัพภาคที่ 1
28,navy1,15,"6.กองเรือภาคที่ 1-2",กองเรือภาคที่ 1
29,navy3,15,"7.กองเรือภาคที่ 3 กองเรือยุทธการ",กองเรือภาคที่ 3 กองเรือยุทธการ
30,ctbdc,15,"8.กองบัญชาการป้องกันชายแดนจันทบุรี-ตราด",กองบัญชาการป้องกันชายแดนจันทบุรี-ตราด
31,army11,15,"9.กองกำลังบูรพา",กองกำลังบูรพา
32,thailo,19,"1.กรมส่งเสริมการปกครองท้องถิ่น",กรมส่งเสริมการปกครองท้องถิ่น
33,thailo,19,กรมส่งเสริมการปกครองท้องถิ่น,ศพด.
34,opec,19,"2.สำนักงานบริหารงานคณะกรรมการส่งเสริมการศึกษาเอกชน",สำนักงานบริหารงานคณะกรรมการส่งเสริมการศึกษาเอกชน
35,vec,19,"3.สำนักงานคณะกรรมการอาชีวศึกษา",สำนักงานคณะกรรมการอาชีวศึกษา
36,mua,19,"4.สำนักงานคณะกรรมการการอุดมศึกษา",สำนักงานคณะกรรมการการอุดมศึกษา
37,ipe,19,"5.สถาบันการพลศึกษา",สถาบันการพลศึกษา
38,bpi,19,"6.สถาบันบัณฑิตพัฒนศิลป์",สถาบันบัณฑิตพัฒนศิลป์
39,obec,19,"7.สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน",สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน
40,bma,19,"8.สำนักการศึกษา กรุงเทพมหานคร",สำนักการศึกษา กรุงเทพมหานคร
41,obec1101,19,"9.สพป. ตามจังหวัด",สพป.สมุทรปราการ เขต 1 
42,obec01,19,"10.สพม. เขต 1-42",สพม. เขต 1
43,*opec9001,19,"11.สช. ตามจังหวัด",""
44,piwhd,19,"12.สถาบันพระบรมราชชนก",สถาบันพระบรมราชชนก
45,police,21,"1.สำนักงานตำรวจแห่งชาติ",สำนักงานตำรวจแห่งชาติ
46,police12,21,"2.กองบัญชาการตำรวจนครบาล",กองบัญชาการตำรวจนครบาล
47,police1,21,"3.กองบัญชาการตำรวจภูธรภาค 1-9",กองบัญชาการตำรวจภูธรภาค 1
48,police19*,21,"4.ศูนย์ปฏิบัติการตำรวจจังหวัดชายแดนภาคใต้*",""
49,police13,21,"5.กองบัญชาการตำรวจสอบสวนกลาง",กองบัญชาการตำรวจสอบสวนกลาง
50,police11,21,"6.กองบัญชาการตำรวจปราบปรามยาเสพติด",กองบัญชาการตำรวจปราบปรามยาเสพติด
51,police10,21,"7.กองบัญชาการตำรวจตระเวนชายแดน",กองบัญชาการตำรวจตระเวนชายแดน
52,police17,21,"8.กองบัญชาการตำรวจสันติบาล",กองบัญชาการตำรวจสันติบาล
53,police14,21,"9.สำนักงานตรวจคนเข้าเมือง",สำนักงานตรวจคนเข้าเมือง
54,police15,21,"10.สำนักงานพิสูจน์หลักฐานตำรวจ",สำนักงานพิสูจน์หลักฐานตำรวจ
55,police18,21,"11.สำนักงานส่งกำลังบำรุง",สำนักงานส่งกำลังบำรุง
56,police101,21,"12.กองบังคับการตำรวจตระเวนชายแดนภาค 1-4",กองบังคับการตำรวจตระเวนชายแดนภาค 1
57,police102,21,"12.กองบังคับการตำรวจตระเวนชายแดนภาค 1-4",กองบังคับการตำรวจตระเวนชายแดนภาค 2
58,police121,21,"13.กองบังคับการตำรวจนครบาล 1-9",กองบังคับการตำรวจนครบาล 1
59,police122,21,"13.กองบังคับการตำรวจนครบาล 1-9",กองบังคับการตำรวจนครบาล 2
60,police1101,21,"14.กองบังคับการตำรวจปราบปรามยาเสพติด 1-4",กองบังคับการตำรวจปราบปรามยาเสพติด 1
61,police1102,21,"14.กองบังคับการตำรวจปราบปรามยาเสพติด 1-4",""
62,police111,21,"15.กองบังคับการตำรวจภูธรจังหวัด ตามจังหวัด",กองบังคับการตำรวจภูธรจังหวัดสมุทรปราการ
63,police440,21,"15.กองบังคับการตำรวจภูธรจังหวัด ตามจังหวัด",กองบังคับการตำรวจภูธรจังหวัดขอนแก่น
64,police131,21,"16.กองบังคับการตำรวจรถไฟ",กองบังคับการตำรวจรถไฟ
65,police20,21,"17.กองบัญชาการตำรวจท่องเที่ยว",กองบัญชาการตำรวจท่องเที่ยว
66,doe,22,"กลุ่ม user ระดับกรมฯ ยกเว้น กรมส่งเสริมการปกครองฯ,กรมคุมประพฤติ",กรมการจัดหางาน
67,dopa,22,"กลุ่ม user ระดับกรมฯ ยกเว้น กรมส่งเสริมการปกครองฯ,กรมคุมประพฤติ",กรมการปกครอง
68,probation1,23,กลุ่ม user กรมคุมประพฤติ,อธิบดีกรมคุมประพฤติ
69,probation2,23,กลุ่ม user กรมคุมประพฤติ,รองอธิบดีกรมคุมประพฤติ
70,moltest18,24,กลุ่ม user สำนักงานแรงงานจังหวัด และ หน่วยงานสังกัดกรมสวัสดิการและคุ้มครองแรงงานและสำนักงานเขตในพื้นที่กรุงเทพมหานคร,สำนักงานแรงงานจังหวัดชัยนาท
71,mol11,24,กลุ่ม user สำนักงานแรงงานจังหวัด และ หน่วยงานสังกัดกรมสวัสดิการและคุ้มครองแรงงานและสำนักงานเขตในพื้นที่กรุงเทพมหานคร,สำนักงานแรงงานจังหวัดสมุทรปราการ
72,labour10,25,กลุ่ม user กรมสวัสดิการแรงงาน,สำนักงานสวัสดิการและคุ้มครองแรงงานกรุงเทพมหานครพื้นที่ 1-10
73,labour11,25,กลุ่ม user กรมสวัสดิการแรงงาน,สำนักงานสวัสดิการและคุ้มครองแรงงานจังหวัดสมุทรปราการ
74,moe10,26,กลุ่ม user สำนักงานศึกษาธิการจังหวัด,สำนักงานศึกษาธิการจังหวัดกรุงเทพมหานคร
75,moe11,26,กลุ่ม user สำนักงานศึกษาธิการจังหวัด,สำนักงานศึกษาธิการจังหวัดสมุทรปราการ
