"id","migration","batch"
1,"2014_10_12_000000_create_users_table",1
2,"2014_10_12_100000_create_password_reset_tokens_table",1
3,"2019_08_19_000000_create_failed_jobs_table",1
4,"2019_12_14_000001_create_personal_access_tokens_table",1
5,"2023_10_29_134221_create_user_details_table",2
6,"2023_10_29_144746_create_save_data_cooperations_table",3
7,"2023_10_30_035138_create_save_data_integraeds_table",4
8,"2023_10_30_040656_create_save_data_cbtxes_table",5
9,"2023_10_30_042743_create_save_data_cbtxs_table",6
10,"2023_10_30_063930_create_save_data_risk_areas_table",7
11,"2023_10_30_065116_create_save_data_religiouses_table",8
12,"2023_10_30_070025_create_save_data_school_targets_table",9
13,"2023_10_30_070920_create_save_data_bussinesses_table",10
14,"2023_10_30_071822_create_save_data_police_schools_table",11
15,"2023_10_30_072844_create_save_data_youth_outs_table",12
16,"2023_10_30_074058_create_save_data_cooperate_people_table",13
17,"2023_10_30_075745_create_save_data_village_trainings_table",14
18,"2023_10_30_081348_create_save_staff_sums_table",15
19,"2023_10_30_082658_create_save_staff_employees_table",16
20,"2023_10_30_085104_create_save_staff_newcontracts_table",17
21,"2023_10_30_090056_create_save_staff_infos_table",18
22,"2023_10_30_090056_create_save_staff_info_table",19
23,"2023_10_30_091026_create_save_staff_performances_table",19
24,"2023_10_30_092030_create_save_staff_statistics_table",20
25,"2023_10_30_092944_create_save_staff_details_table",21
26,"2023_10_30_100002_create_import_dailies_table",22
27,"2023_10_30_103532_create_import_monthlies_table",23
28,"2023_10_30_144042_create_risk_areas_table",24
29,"2023_10_30_144307_create_user_details_table",25
30,"2023_10_30_162553_create_religiouses_table",26
31,"2023_10_30_163634_create_school_targets_table",27
32,"2023_10_30_164201_create_businesses_table",28
33,"2023_10_30_164706_create_police_schools_table",29
34,"2023_10_30_165104_create_youth_outs_table",30
35,"2023_10_30_165544_create_cooperate_people_table",31
36,"2023_10_31_020105_create_village_trainings_table",32
37,"2023_10_31_021735_create_cbtxes_table",33
38,"2023_10_31_022406_create_cooperations_table",34
39,"2023_10_31_023039_create_integraeds_table",35
40,"2023_10_31_032003_create_mange_integrations_table",36
41,"2023_10_31_032648_create_staff_sums_table",37
42,"2023_10_31_033403_create_staff_employees_table",38
43,"2023_10_31_033855_create_staff_newcontracts_table",39
44,"2023_10_31_034509_create_staff_infos_table",40
45,"2023_10_31_035407_create_staff_performances_table",41
46,"2023_10_31_040038_create_staff_statistics_table",42
47,"2023_10_31_041604_create_staff_details_table",43
48,"2023_10_31_042635_create_import_routines_table",44
49,"2023_10_31_043339_create_import_months_table",45
50,"2023_10_31_062615_create_religious_report_zones_table",46
51,"2023_10_31_070015_create_religious_report_provinces_table",47
52,"2023_10_31_070940_create_religious_report_overviews_table",48
53,"2023_10_31_072646_create_religious_report_districts_table",49
54,"2023_10_31_074427_create_cbtxes_reports_table",50
55,"2023_10_31_075244_create_cbtxes_report_specifics_table",51
56,"2023_10_31_081326_create_youth_outs_report_sums_table",52
57,"2023_10_31_084557_create_youth_outs_report_overviews_table",53
58,"2023_10_31_113023_create_youth_outs_report_provinces_table",54
59,"2023_10_31_114153_create_youth_outs_report_districts_table",55
60,"2023_10_31_120234_create_youth_outs_report_sub_districts_table",56
61,"2023_10_31_122731_create_report_risk_area_type_subdistricts_table",57
62,"2023_10_31_122731_create_risk_area_report_type_subdistricts_table",58
63,"2023_10_31_124851_create_risk_area_report_type_districts_table",59
64,"2023_11_01_030457_create_risk_area_report_type_provinces_table",60
65,"2023_11_01_032022_create_risk_area_report_result_districts_table",61
66,"2023_11_01_032637_create_risk_area_report_result_provinces_table",62
67,"2023_11_01_033427_create_risk_area_report_result_subdistricts_table",63
68,"2023_11_01_034852_create_risk_area_report_overviews_table",64
69,"2023_11_01_040257_create_risk_area_report_sums_table",65
70,"2023_11_01_044635_create_village_training_sums_table",66
71,"2023_11_01_050052_create_village_training_overviews_table",67
72,"2023_11_01_062803_create_village_training_provinces_table",68
73,"2023_11_01_063429_create_school_report_stratigics_table",69
74,"2023_11_01_064415_create_school_report_stratigics_table",70
75,"2023_11_01_071809_create_school_report_children_table",71
76,"2023_11_01_073753_create_school_reports_table",72
77,"2023_11_01_084500_create_community_report_requests_table",73
78,"2023_11_01_085736_create_community_report_people_table",74
79,"2023_11_01_090321_create_community_report_statisticals_table",75
80,"2023_11_01_091335_create_community_report_overview_subdistricts_table",76
81,"2023_11_01_094614_create_community_report_overview_provinces_table",77
82,"2023_11_01_102605_create_community_report_detail_subdistricts_table",78
83,"2023_11_01_103422_create_community_report_detail_villages_table",79
84,"2023_11_01_104859_create_community_report_overview_districts_table",80
85,"2023_11_01_105750_create_community_report_overview_villages_table",81
86,"2023_11_01_112722_create_community_report_amount_subdistricts_table",82
87,"2023_11_01_114340_create_community_report_amount_provinces_table",83
88,"2023_11_01_120942_create_community_report_amount_district_table",84
89,"2023_11_01_121921_create_community_report_amount_districts_table",85
90,"2023_11_02_024603_create_community_report_villages_table",86
91,"2023_11_02_025259_create_community_report_problems_table",87
92,"2023_11_02_030133_create_community_report_village_compares_table",88
93,"2023_11_02_032158_create_month_report_highlights_table",89
94,"2023_11_02_033617_create_month_report_bud_provinces_table",90
95,"2023_11_02_034433_create_month_report_bud_zones_table",91
96,"2023_11_02_035026_create_month_report_meeting_provinces_table",92
97,"2023_11_02_035745_create_month_report_meeting_zones_table",93
98,"2023_11_02_042328_create_month_report_news_provinces_table",94
99,"2023_11_02_050450_create_month_report_news_zones_table",95
100,"2023_11_02_070149_create_month_report_spending_zones_table",96
101,"2023_11_02_070642_create_month_report_spending_provinces_table",97
102,"2023_11_02_071049_create_month_report_overview_provinces_table",98
103,"2023_11_02_071530_create_month_report_overview_zones_table",99
104,"2023_11_02_071944_create_month_report_meeting_docs_table",100
